ticker,grupo
TIMS3F,Ação
SLCE3F,Ação
HYPE3F,Ação
BRKM3F,Ação
VULC3F,Ação
T2TD34,BDR
MTRE3F,Ação
PETZ3F,Ação
ASAI3F,Ação
BINC11,ETF/Unit/FII
B1PP34,BDR
WIZC3F,Ação
MRVE3F,Ação
ODPV3F,Ação
UNIP6F,Ação
VIVA3F,Ação
P2AN34,BDR
CMIG3F,Ação
TTEN3F,Ação
ELET6F,Ação
CAML3F,Ação
BRSR6F,Ação
CEAB3F,Ação
PCAR3F,Ação
ORCL34,BDR
CVCB3F,Ação
MYPK3F,Ação
N1OW34,BDR
MCDC34,BDR
TMCO34,BDR
BRBI11F,Ação
MULT3F,Ação
FESA4F,Ação
RDOR3F,Ação
OIBR3F,Ação
COPN11,ETF/Unit/FII
ABBV34,BDR
G1DS34,BDR
EZTC3F,Ação
IAAG11,ETF/Unit/FII
HOME34,BDR
VERZ34,BDR
AZIN11,ETF/Unit/FII
ECOR3F,Ação
HAPV3F,Ação
BHIA3F,Ação
RAPT4F,Ação
SNFZ11,ETF/Unit/FII
AZTE3F,Ação
PGMN3F,Ação
IFCM3F,Ação
TUPY3F,Ação
BEMC39,BDR
SNID11,ETF/Unit/FII
LAVV3F,Ação
COWC34,BDR
DEFI11,ETF/Unit/FII
TEND3F,Ação
EGAF11,ETF/Unit/FII
CPLE3F,Ação
E1CO34,BDR
RAIL3F,Ação
DXCO3F,Ação
NEOE3F,Ação
XPID11,ETF/Unit/FII
PLPL3F,Ação
AERI3F,Ação
BDIV11,ETF/Unit/FII
S1RP34,BDR
MOVI3F,Ação
CSCO34,BDR
VLID3F,Ação
WEB311,ETF/Unit/FII
TASA3F,Ação
SANB4F,Ação
NATU3F,Ação
LWSA3F,Ação
A1ZN34,BDR
C2RS34,BDR
PNVL3F,Ação
YDUQ3F,Ação
AIRB34,BDR
SHUL4F,Ação
WFCO34,BDR
GGBR3F,Ação
QUAL3F,Ação
TCSA3F,Ação
SEER3F,Ação
ENGI11F,Ação
USDB11,ETF/Unit/FII
K2CG34,BDR
U2ST34,BDR
BCHI39,BDR
LJQQ3F,Ação
BIYK39,BDR
SANB3F,Ação
GFSA3F,Ação
C2RW34,BDR
P1DD34,BDR
POMO3F,Ação
H1SB34,BDR
MOTV3F,Ação
CBAV3F,Ação
BFAV39,BDR
D1OW34,BDR
MUTC34,BDR
ORVR3F,Ação
AMER3F,Ação
BPAN4F,Ação
SMFT3F,Ação
IGTI11F,Ação
U1BE34,BDR
NFTS11,ETF/Unit/FII
MDIA3F,Ação
PFIZ34,BDR
MDNE3F,Ação
GPIV33,Ação
ENEV3F,Ação
FSRF11F,Ação
BURA39,BDR
LBRD34,BDR
COCE11,ETF/Unit/FII
ANIM3F,Ação
GPRO34,BDR
BRZP11,ETF/Unit/FII
GPRK34,BDR
R2BL34,BDR
MELK3F,Ação
BIVB39,BDR
JGPX11,ETF/Unit/FII
BRAP3F,Ação
CRAA11,ETF/Unit/FII
BCWV39,BDR
DESK3F,Ação
G1FI34,BDR
BTLT39,BDR
TGMA3F,Ação
USIM3F,Ação
GUAR3F,Ação
BLAU3F,Ação
AMOB3F,Ação
HODL11,ETF/Unit/FII
GMAT3F,Ação
BEUW39,BDR
GSGI34,BDR
S1BS34,BDR
ARML3F,Ação
L1YG34,BDR
HBOR3F,Ação
